stretch_upper_bound, avg_stretch, max_stretch
2, 1.0019774934102506, 2.0
3, 1.0047847490419306, 3.0
4, 1.008734864325333, 4.0
5, 1.016911491524482, 5.0
6, 1.0364349799478372, 6.0
7, 1.0647957618743598, 7.0
8, 1.0925886554076438, 8.0
9, 1.1277242063632733, 9.0
10, 1.1888709025913864, 10.0
11, 1.2220854963805003, 11.0
12, 1.2750403299411572, 12.0
13, 1.3506098535795412, 13.0
14, 1.3890878756598217, 14.0
15, 1.4477079994383633, 15.0
16, 1.5348813592387685, 16.0
17, 1.5581074691015266, 17.0
18, 1.6165895849914709, 18.0
19, 1.6627608714916322, 19.0
20, 1.7256071351766629, 20.0
21, 1.7391035202304614, 21.0
22, 1.8392198937994886, 22.0
23, 1.9251374481333392, 23.0
24, 1.9294955905046651, 24.0
25, 1.9595438591153496, 25.0
26, 2.054271883530736, 26.0
27, 2.0218498742709516, 27.0
28, 2.0890911983126825, 28.0
29, 2.171542480672322, 29.0
30, 2.2492880856103716, 30.0
31, 2.2050888913768234, 31.0
32, 2.2503626474633345, 32.0
33, 2.339005486401801, 33.0
34, 2.403960152505411, 34.0
35, 2.3593881600289786, 35.0
36, 2.5128922417517567, 36.0
37, 2.468005222444975, 35.0
38, 2.551813614217434, 37.0
39, 2.5509783636149552, 39.0
40, 2.587001181979827, 40.0
41, 2.541028568945114, 40.0
42, 2.6062275808492807, 39.0
43, 2.5993449893759095, 41.0
44, 2.6322464068180946, 41.0
45, 2.672107832991302, 45.0
46, 2.882840504206938, 46.0
47, 2.817889051630333, 46.0
48, 2.8968094282904597, 45.0
49, 3.073685583850859, 49.0
50, 2.9252959985182923, 49.0
51, 2.945482120957729, 50.0
52, 3.104068746383822, 52.0
53, 2.894895567681501, 49.0
54, 2.8565696307599873, 53.0
