n, orig, approx, max, diam, iter
1030, 1, 42.4, 124.0, 19, 20
1030, 1, 36.0, 60.0, 19, 20
1030, 1, 40.0, 124.0, 19, 20
1030, 1, 46.8, 124.0, 19, 20
1030, 1, 40.8, 60.0, 19, 20
2058, 1, 51.6, 60.0, 22, 20
2058, 1, 65.2, 124.0, 22, 20
2058, 1, 48.8, 124.0, 22, 20
2058, 1, 45.2, 60.0, 22, 20
2058, 1, 42.8, 124.0, 22, 20
3170, 1, 48.8, 124.0, 22, 20
3170, 1, 52.0, 124.0, 22, 20
3170, 1, 51.6, 124.0, 22, 20
3170, 1, 57.6, 124.0, 22, 20
3170, 1, 54.4, 124.0, 22, 20
4257, 1, 51.2, 124.0, 20, 20
4257, 1, 56.8, 124.0, 20, 20
4257, 1, 40.4, 60.0, 20, 20
4257, 1, 56.0, 124.0, 20, 20
4257, 1, 52.8, 124.0, 20, 20
5329, 1, 56.8, 124.0, 20, 20
5329, 1, 39.2, 124.0, 20, 20
5329, 1, 48.0, 124.0, 20, 20
5329, 1, 43.2, 124.0, 20, 20
5329, 1, 78.4, 124.0, 20, 20
6224, 1, 59.2, 124.0, 28, 20
6224, 1, 50.4, 124.0, 28, 20
6224, 1, 54.4, 124.0, 28, 20
6224, 1, 54.4, 124.0, 28, 20
6224, 1, 53.2, 124.0, 28, 20
7399, 1, 47.2, 60.0, 25, 20
7399, 1, 38.8, 60.0, 25, 20
7399, 1, 52.4, 124.0, 25, 20
7399, 1, 46.4, 124.0, 25, 20
7399, 1, 40.4, 124.0, 25, 20
8403, 1, 64.8, 124.0, 23, 20
8403, 1, 54.0, 124.0, 23, 20
8403, 1, 51.2, 124.0, 23, 20
8403, 1, 75.2, 124.0, 23, 20
8403, 1, 63.2, 124.0, 23, 20
9664, 1, 54.8, 124.0, 28, 20
9664, 1, 74.4, 124.0, 28, 20
9664, 1, 67.2, 124.0, 28, 20
9664, 1, 64.0, 124.0, 28, 20
9664, 1, 55.6, 124.0, 28, 20
10497, 1, 60.0, 124.0, 23, 20
10497, 1, 47.2, 124.0, 23, 20
10497, 1, 41.2, 124.0, 23, 20
10497, 1, 61.2, 124.0, 23, 20
10497, 1, 60.0, 124.0, 23, 20
