stretch_upper_bound, avg_stretch, max_stretch
2, 1.0102996199239935, 2.0
3, 1.1208719543908383, 3.0
4, 1.3310282189771259, 4.0
5, 1.5759404747615935, 5.0
6, 1.818215309728575, 6.0
7, 2.0601036607321146, 7.0
8, 2.2972656864705305, 8.0
9, 2.526761919050405, 9.0
10, 2.764300206708139, 10.0
11, 2.9937421084215803, 11.0
12, 3.218506541308221, 12.0
13, 3.4426442821897805, 13.0
14, 3.6668207508169965, 14.0
15, 3.8916851703673436, 15.0
16, 4.102885717143602, 16.0
17, 4.319290604787635, 17.0
18, 4.543152143762266, 18.0
19, 4.729124044808864, 19.0
20, 4.947470747483267, 20.0
