stretch_upper_bound, avg_stretch, max_stretch
2, 1.4002038894278221, 2.0
3, 1.7276476086844537, 3.0
4, 1.988457513184906, 4.0
5, 2.310460101121606, 5.0
6, 2.459255810442154, 6.0
7, 2.816326033093978, 7.0
8, 3.109400145850972, 8.0
9, 3.43368563496766, 9.0
10, 3.504782859415846, 10.0
11, 3.70333129262988, 11.0
12, 3.9512875720607967, 12.0
13, 4.0307312821467445, 13.0
14, 4.395261339531419, 14.0
15, 4.608583273977304, 15.0
16, 4.770494100853596, 16.0
17, 5.055690424511603, 17.0
18, 5.3613599701425, 18.0
19, 5.4130853012868405, 19.0
20, 5.190000221668998, 20.0
