stretch_upper_bound, avg_stretch, max_stretch
2, 1.001368475091112, 2.0
3, 1.002555604965515, 3.0
4, 1.0103090754104849, 4.0
5, 1.0190448002921972, 5.0
6, 1.051996731712506, 6.0
7, 1.092705056525729, 7.0
8, 1.148257493186851, 8.0
9, 1.216919942416473, 9.0
10, 1.2784781907559135, 10.0
11, 1.3565963901013507, 11.0
12, 1.434518065217181, 12.0
13, 1.5029639694614403, 13.0
14, 1.5829888932838025, 14.0
15, 1.6515548355985614, 15.0
16, 1.7156986184243175, 16.0
17, 1.8060663142944606, 17.0
18, 1.8614098875915344, 18.0
19, 1.9135942305343825, 19.0
20, 2.000199326864151, 20.0
