distortion_upper_bound, orig, approx, iter
2, 1, 1.4, 5
2, 1, 1.8, 5
2, 1, 1.8, 5
2, 1, 1.4, 5
2, 1, 1.2, 5
3, 1, 2.2, 5
3, 1, 2.2, 5
3, 1, 2.0, 5
3, 1, 2.6, 5
3, 1, 2.4, 5
4, 1, 3.0, 5
4, 1, 3.0, 5
4, 1, 3.2, 5
4, 1, 3.4, 5
4, 1, 2.8, 5
5, 1, 3.4, 5
5, 1, 3.4, 5
5, 1, 2.8, 5
5, 1, 3.4, 5
5, 1, 4.2, 5
6, 1, 4.4, 5
6, 1, 3.4, 5
6, 1, 3.2, 5
6, 1, 2.4, 5
6, 1, 3.8, 5
7, 1, 4.6, 5
7, 1, 3.2, 5
7, 1, 4.4, 5
7, 1, 3.0, 5
7, 1, 4.6, 5
8, 1, 4.4, 5
8, 1, 3.2, 5
8, 1, 3.8, 5
8, 1, 4.8, 5
8, 1, 4.6, 5
9, 1, 6.4, 5
9, 1, 6.0, 5
9, 1, 5.8, 5
9, 1, 4.8, 5
9, 1, 6.0, 5
10, 1, 5.6, 5
10, 1, 3.2, 5
10, 1, 7.2, 5
10, 1, 6.6, 5
10, 1, 5.2, 5
11, 1, 4.2, 5
11, 1, 8.0, 5
11, 1, 6.6, 5
11, 1, 5.2, 5
11, 1, 6.6, 5
12, 1, 8.0, 5
12, 1, 6.4, 5
12, 1, 4.8, 5
12, 1, 7.2, 5
12, 1, 7.2, 5
13, 1, 8.8, 5
13, 1, 6.6, 5
13, 1, 6.8, 5
13, 1, 4.2, 5
13, 1, 7.2, 5
14, 1, 7.2, 5
14, 1, 8.2, 5
14, 1, 6.6, 5
14, 1, 9.8, 5
14, 1, 7.2, 5
15, 1, 8.0, 5
15, 1, 9.8, 5
15, 1, 9.0, 5
15, 1, 8.0, 5
15, 1, 8.0, 5
16, 1, 8.2, 5
16, 1, 8.6, 5
16, 1, 5.8, 5
16, 1, 10.4, 5
16, 1, 10.4, 5
17, 1, 9.2, 5
17, 1, 11.0, 5
17, 1, 9.8, 5
17, 1, 9.6, 5
17, 1, 4.2, 5
18, 1, 9.0, 5
18, 1, 9.6, 5
18, 1, 8.8, 5
18, 1, 10.4, 5
18, 1, 9.4, 5
19, 1, 11.4, 5
19, 1, 12.8, 5
19, 1, 9.4, 5
19, 1, 7.4, 5
19, 1, 11.0, 5
20, 1, 6.6, 5
20, 1, 12.2, 5
20, 1, 8.0, 5
20, 1, 12.4, 5
20, 1, 9.2, 5
