distortion_upper_bound, orig, approx, iter
2, 1, 1.0, 10
2, 1, 1.0, 10
2, 1, 1.0, 10
2, 1, 1.0, 10
2, 1, 1.0, 10
2, 1, 1.0, 10
2, 1, 1.0, 10
2, 1, 1.0, 10
2, 1, 1.0, 10
2, 1, 1.0, 10
3, 1, 1.0, 10
3, 1, 1.0, 10
3, 1, 1.0, 10
3, 1, 1.0, 10
3, 1, 1.0, 10
3, 1, 1.0, 10
3, 1, 1.0, 10
3, 1, 1.0, 10
3, 1, 1.0, 10
3, 1, 1.0, 10
4, 1, 1.0, 10
4, 1, 1.0, 10
4, 1, 1.0, 10
4, 1, 1.0, 10
4, 1, 1.0, 10
4, 1, 1.0, 10
4, 1, 1.0, 10
4, 1, 1.0, 10
4, 1, 1.0, 10
4, 1, 1.0, 10
5, 1, 1.0, 10
5, 1, 1.0, 10
5, 1, 1.0, 10
5, 1, 2.2, 10
5, 1, 1.0, 10
5, 1, 1.0, 10
5, 1, 1.0, 10
5, 1, 1.0, 10
5, 1, 1.0, 10
5, 1, 1.0, 10
6, 1, 1.0, 10
6, 1, 2.0, 10
6, 1, 1.5, 10
6, 1, 1.0, 10
6, 1, 1.0, 10
6, 1, 1.0, 10
6, 1, 1.0, 10
6, 1, 1.0, 10
6, 1, 1.0, 10
6, 1, 1.0, 10
7, 1, 1.0, 10
7, 1, 2.2, 10
7, 1, 1.0, 10
7, 1, 1.0, 10
7, 1, 1.0, 10
7, 1, 1.0, 10
7, 1, 2.5, 10
7, 1, 1.0, 10
7, 1, 1.0, 10
7, 1, 1.0, 10
8, 1, 1.0, 10
8, 1, 1.0, 10
8, 1, 1.0, 10
8, 1, 1.0, 10
8, 1, 1.0, 10
8, 1, 1.0, 10
8, 1, 1.0, 10
8, 1, 1.0, 10
8, 1, 1.0, 10
8, 1, 1.0, 10
9, 1, 1.0, 10
9, 1, 3.2, 10
9, 1, 1.0, 10
9, 1, 1.6999999999999997, 10
9, 1, 2.9, 10
9, 1, 2.4, 10
9, 1, 1.0, 10
9, 1, 1.0, 10
9, 1, 1.0, 10
9, 1, 1.0, 10
10, 1, 1.0, 10
10, 1, 1.5, 10
10, 1, 2.5, 10
10, 1, 1.0, 10
10, 1, 1.0, 10
10, 1, 1.7, 10
10, 1, 1.0, 10
10, 1, 1.8, 10
10, 1, 1.9, 10
10, 1, 1.9, 10
11, 1, 1.0, 10
11, 1, 1.0, 10
11, 1, 3.6999999999999997, 10
11, 1, 1.0, 10
11, 1, 2.0, 10
11, 1, 1.0, 10
11, 1, 4.2, 10
11, 1, 2.0, 10
11, 1, 2.2, 10
11, 1, 2.3999999999999995, 10
12, 1, 1.0, 10
12, 1, 1.0, 10
12, 1, 1.0, 10
12, 1, 2.9, 10
12, 1, 4.8, 10
12, 1, 3.3, 10
12, 1, 1.0, 10
12, 1, 2.9, 10
12, 1, 1.0, 10
12, 1, 4.1, 10
13, 1, 3.1, 10
13, 1, 1.0, 10
13, 1, 1.0, 10
13, 1, 1.0, 10
13, 1, 3.8999999999999995, 10
13, 1, 2.6, 10
13, 1, 3.3, 10
13, 1, 1.0, 10
13, 1, 3.5, 10
13, 1, 1.8999999999999997, 10
14, 1, 1.0, 10
14, 1, 1.0, 10
14, 1, 1.0, 10
14, 1, 1.0, 10
14, 1, 2.2, 10
14, 1, 1.0, 10
14, 1, 1.0, 10
14, 1, 5.0, 10
14, 1, 1.0, 10
14, 1, 7.7, 10
15, 1, 1.0, 10
15, 1, 1.0, 10
15, 1, 2.7, 10
15, 1, 4.0, 10
15, 1, 2.1, 10
15, 1, 1.0, 10
15, 1, 1.0, 10
15, 1, 3.2, 10
15, 1, 1.0, 10
15, 1, 1.0, 10
16, 1, 3.3, 10
16, 1, 4.8, 10
16, 1, 1.0, 10
16, 1, 1.0, 10
16, 1, 1.0, 10
16, 1, 2.4, 10
16, 1, 4.7, 10
16, 1, 1.0, 10
16, 1, 2.8, 10
16, 1, 2.2, 10
17, 1, 1.0, 10
17, 1, 3.6000000000000005, 10
17, 1, 6.2, 10
17, 1, 1.0, 10
17, 1, 1.0, 10
17, 1, 2.4, 10
17, 1, 2.8, 10
17, 1, 3.8, 10
17, 1, 4.8, 10
17, 1, 5.2, 10
18, 1, 9.5, 10
18, 1, 1.8, 10
18, 1, 1.0, 10
18, 1, 3.6, 10
18, 1, 10.0, 10
18, 1, 1.0, 10
18, 1, 1.0, 10
18, 1, 5.5, 10
18, 1, 2.3999999999999995, 10
18, 1, 4.4, 10
19, 1, 1.0, 10
19, 1, 9.3, 10
19, 1, 5.3, 10
19, 1, 4.9, 10
19, 1, 5.3, 10
19, 1, 1.0, 10
19, 1, 1.0, 10
19, 1, 1.0, 10
19, 1, 1.0, 10
19, 1, 1.0, 10
20, 1, 1.0, 10
20, 1, 2.6, 10
20, 1, 5.9, 10
20, 1, 6.8, 10
20, 1, 8.2, 10
20, 1, 1.0, 10
20, 1, 1.0, 10
20, 1, 1.0, 10
20, 1, 1.0, 10
20, 1, 4.6, 10
